index,id,datetime,text,user_name,sentiment,rwt_retweet_count,markersize_1,markersize_2,markersize_3,markersize_4,single_tweet_history_flag,color_1,color_2,color_3,color_4,keyword_tweet_idx,callout_1_flag,callout_1_text,callout_2_flag,callout_2_text,callout_3_flag,callout_3_text,callout_4_flag,callout_4_text
2831,788118977264451586,2016-10-17 20:46:21,"RT @virgehall: Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https:/…",AdmiralBarryDomville,-0.455276,50.0,3.0,2.0,3.93223533573,3.93223533573,False,0,0,0,0,False,0,,0,,0,,0,
2832,788119295993741312,2016-10-17 20:47:37,RT @swiveleyed24: Rotherham: eight men convicted of sexually exploiting teenage girls https://t.co/PRCvOtUVzm,David Kempsford,-0.714829,16.0,3.0,2.0,2.63901582155,2.63901582155,False,0,0,0,0,False,0,,0,,0,,0,
2833,788119486998179840,2016-10-17 20:48:22,RT @CBEMOB: Eight members of 'openly racist' violent Asian sex gang raped girls https://t.co/BWLXA5PUc3 via @MailOnline,SimonH1970UK,-0.684777,3.0,3.0,2.0,1.4689007046,1.4689007046,False,0,0,0,0,False,0,,0,,0,,0,
2834,788119711846400004,2016-10-17 20:49:16,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,Nick Hoadley,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2835,788119785460686848,2016-10-17 20:49:34,"RT @virgehall: Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https:/…",Erik Boielle,-0.455276,50.0,3.0,2.0,3.93223533573,3.93223533573,False,0,0,0,0,False,0,,0,,0,,0,
2836,788119835674828800,2016-10-17 20:49:46,"RT @hallamfmnews: ""Dangerous sexual predators"": 8 men convicted for their part in sexual abuse of 3 girls in #Rotherham. Ben Bason's at She…",jeannie,-0.759493,6.0,3.0,2.0,1.87220300352,1.87220300352,False,0,0,0,0,False,0,,0,,0,,0,
2837,788119975370301440,2016-10-17 20:50:19,RT @TRobinsonNewEra: Eight men convicted of sexually exploiting young girls in Rotherham https://t.co/Lz2f8rdOpZ,roof line,-0.684175,94.0,3.0,2.0,4.90450011169,4.90450011169,False,0,0,0,0,False,0,,0,,0,,0,
2838,788120230606303233,2016-10-17 20:51:20,RT @BBCBreaking: Eight men guilty of 16 charges over sexual exploitation of three girls in Rotherham between 1999 and 2003 https://t.co/xRK…,🎃ScubaMonkey 🎃,-0.44902,483.0,3.0,8.69724082475,8.69724082475,8.69724082475,True,0,1,0,0,False,0,,0,,0,,0,
2839,788120259953881090,2016-10-17 20:51:27,RT @SarahChampionMP: Due to bravery &amp; determination of #Rotherham survivors 8 men were found guilty of child sexual exploitation today http…,David James Lister,-0.377565,48.0,3.0,2.0,3.87645219972,3.87645219972,False,0,0,0,0,False,0,,0,,0,,0,
2840,788120320418914304,2016-10-17 20:51:41,"RT @PGMcNamara: The full story of today's #Rotherham abuse verdict on #c4news tonight, from me, @RWindscheffel &amp; @vidivic. Justice 13 years…",jeannie,-0.2035,3.0,3.0,2.0,1.4689007046,1.4689007046,False,0,0,0,0,False,0,,0,,0,,0,
